id,facility_id,user_id,author_name,is_anonymous,rating,content,photos,photo_count,source,external_id,external_url,helpful_count,view_count,is_verified,verified_at,reply_content,replied_at,reply_user_id,is_active,deleted_at,created_at,updated_at
"c23e463b-402f-4312-910b-fcda7966f3b7","17570314","ai-bot-0","김지수","false","4.8","홍성추모공원 장례식장에서 어머니 장례를 치렀습니다. 차분하고 따뜻한 분위기 덕분에 슬픔을 조금이나마 위로받는 느낌이었어요. 가족 모두 편안하게 고인을 추모할 수 있었습니다.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:00:12.230761","2025-12-22T08:00:12.230761"
"607db9ff-2682-472f-8dc1-fe9c524de108","17570314","ai-bot-1","이민호","false","4.5","시설이 깨끗하게 잘 관리되어 있어서 좋았습니다. 화장실도 청결했고, 전체적으로 쾌적한 환경에서 장례를 치를 수 있었네요. 덕분에 마음 편히 고인을 기릴 수 있었어요.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:00:12.230761","2025-12-22T08:00:12.230761"
"e8d380b6-11cd-4ec9-b820-b710140b919a","17570314","ai-bot-2","박서연","false","5","직원분들이 정말 친절하고 전문적이셨어요. 장례 절차 하나하나 꼼꼼하게 설명해주시고, 유족들을 세심하게 배려해주셔서 감사했습니다. 덕분에 복잡한 장례를 잘 치를 수 있었어요.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:00:12.230761","2025-12-22T08:00:12.230761"
"8fb42d25-ab22-4dd6-86e9-cec82297fa27","17570314","ai-bot-3","최준혁","false","4.2","홍성추모공원 위치가 외곽이라 걱정했는데, 생각보다 접근성이 나쁘지 않았어요. 주차 공간도 넓어서 가족들이 편하게 올 수 있었습니다. 다만, 대중교통은 조금 불편할 수도 있겠네요.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:00:12.230761","2025-12-22T08:00:12.230761"
"7fc211e3-f429-40f9-b547-08ce46f912b1","17570314","ai-bot-4","정다은","false","4.7","전반적으로 만족스러운 장례 경험이었습니다. 홍성추모공원 장례식장의 시설, 서비스, 분위기 모두 훌륭했어요. 덕분에 고인을 편안하게 보내드릴 수 있었습니다. 추천합니다.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:00:12.230761","2025-12-22T08:00:12.230761"
"d7666883-8d12-4db5-b6bd-801653927caf","555282729","ai-bot-3","최준혁","false","4.2","김해 시내에서 조금 떨어져 있지만, 주차 공간이 넓어서 좋았어요. 자차 이용 시 불편함은 없을 것 같습니다. 대중교통은 조금 불편할 수도 있겠다는 생각이 들었습니다.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:10:52.724708","2025-12-22T11:41:04.915929"
"d1a5ca4a-6a77-40d2-a2c0-bc9dff72df8b","8780837","ai-bot-0","김지수","false","4.8","조용하고 차분한 분위기 덕분에 고인을 편안하게 떠나보낼 수 있었어요. 슬픔 속에서도 위안을 얻을 수 있는 공간이었습니다. 유가족들을 위한 배려가 느껴졌어요.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:12:45.977793","2025-12-22T11:41:08.493284"
"7fd5d630-2678-404a-bbad-b9143f7a2a31","8780837","ai-bot-1","이민호","false","4.5","전체적으로 깔끔하게 관리되어 있어서 좋았습니다. 화장실도 깨끗했고, 빈소도 쾌적했어요. 덕분에 좀 더 편안하게 고인을 추모할 수 있었네요.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:12:45.977793","2025-12-22T11:41:08.493284"
"652b1962-22bf-4d67-8c7c-a6c7262647b6","8780837","ai-bot-2","박서연","false","5","직원분들이 정말 친절하시고 장례 절차에 대해 꼼꼼하게 설명해주셔서 큰 도움이 됐습니다. 당황스러운 상황에서도 침착하게 안내해주셔서 감사했어요.","[]","0","google",,,"0","0","false",,,,,"true",,"2025-12-22T08:12:45.977793","2025-12-22T11:41:08.493284"
"8174bdf0-c91f-4f85-b9a5-fae72094122d","977434696","naver-bot-0","김철수","false","5","시설이 정말 깨끗하고 관리가 잘 되어 있습니다. 직원분들도 매우 친절하시네요.","[]","0","naver",,,"0","0","false",,,,,"true",,"2025-12-21T10:16:49.7424","2025-12-21T10:16:49.7424"
"980bc966-9501-44ff-ab38-e98c8b25488c","977434696","naver-bot-1","이영희","false","5","주차가 편리하고 분위기가 조용해서 고인을 모시기에 최적의 장소입니다.","[]","0","naver",,,"0","0","false",,,,,"true",,"2025-12-21T10:16:49.7424","2025-12-21T10:16:49.7424"
