id,image_url,thumbnail_url,alt_text,width,height,file_size,mime_type,category,order_index,is_active,source,created_at,facility_id
"f414a7a0-a4a6-4180-bc0d-bd040d72aec1","https://15774129.go.kr/BCUser/facilitypic/7000001511/1554945219233.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","306a2200-ebdd-4a34-9161-0a36d5304072"
"706ac33f-904b-4155-8336-320e7b4be025","https://15774129.go.kr/BCUser/facilitypic/1000000762/1554970709736.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","fe61330d-fe87-45d5-a06f-b151d8d5f798"
"47100f15-c6ad-40f5-b5da-6394a1d8d08f","https://15774129.go.kr/BCUser/facilitypic/7000002159/1554256154846.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","2ec11d8a-4761-43fa-9654-2cffd850f2ff"
"8baf746c-b382-49a4-a1a2-ff719fba8d44","https://15774129.go.kr/BCUser/facilitypic/1653359502119.JPG",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","8a3687cc-c14d-4674-85ee-330fb48740b5"
"ee88d6bb-6320-48b8-ab2e-d37628570776","https://15774129.go.kr/BCUser/facilitypic/1000000247/1554356626479.png",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","e0bcb372-1001-41fe-930e-c3a7c6162d47"
"424a4f1a-19f8-4d44-ac5b-7ed9d31f1ee8","https://15774129.go.kr/BCUser/facilitypic/1000000895/1563430413565.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","557df6d8-2f90-4a8e-af88-0180fb00f66d"
"1d7fca19-4278-45e7-bad2-dc19bec232cb","https://15774129.go.kr/BCUser/facilitypic/1000000792/1564466616821.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","1198c21b-7527-4023-8df7-e8e0a47b4d7f"
"44958b68-90e1-41c5-9996-03b89ec864eb","https://15774129.go.kr/BCUser/facilitypic/1000000411/1474967748480.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","905db9d5-7a57-4d65-8a74-62cee9e7ee6d"
"364a2b3b-5775-46d1-9896-6647354b907b","https://15774129.go.kr/BCUser/facilitypic/1000000411/1474967748480.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","905db9d5-7a57-4d65-8a74-62cee9e7ee6d"
"319f96dd-4a7e-4985-b32a-d93b06a0a67d","https://15774129.go.kr/BCUser/facilitypic/1465957200350_1000000562_0.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","a5914012-c1d7-42f8-a395-d400de63f951"
"d924d16e-a40d-403b-b071-682d3a311e37","https://15774129.go.kr/BCUser/facilitypic/7000000509/1563511023065.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","5cebc351-ec7f-45f0-9ce8-39f5943e47f7"
"b66024cc-83a2-4dd0-a548-f58a4c0f884d","https://15774129.go.kr/BCUser/facilitypic/7000000492/1563427299378.jpg",,,,,,,"general","0","true","upload","2026-01-07T01:16:20.199404","902cadf8-9e4c-4977-9f47-ccc6eb20944d"
