name,category,address,lat,lng,phone,legacy_id,is_verified,images,location
매일상조,sangjo,전국 서비스,37.5665,126.978,053-256-5891,2310,True,{https://placehold.co/600x400/ededed/1a1a1a/png?text=Maeil},POINT(126.978 37.5665)
영명사 우리추모공원,charnel_house,경상북도 울진군 기성면 기성로 912-24,36.8181875339096,129.441006784123,054-788-9790,1680,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(129.441006784123 36.8181875339096)
S병원장례식장,funeral_home,대구광역시 달서구 와룡로 57,35.837889482623,128.536434807458,053-567-0909,1679,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(128.536434807458 35.837889482623)
성남중앙병원 장례식장,funeral_home,경기도 성남시 중원구 산성대로476번길 12,37.4529446188906,127.162001115169,031-741-8384,1678,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(127.162001115169 37.4529446188906)
통일로추모공원,charnel_house,경기도 파주시 조리읍 명봉산로114번길 84 통일로추모공원,37.7396135688483,126.848503332524,031-943-3501,1673,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(126.848503332524 37.7396135688483)
청주시장례식장운영회,funeral_home,충북 청주시 상당구 목련로 731,36.6428098895286,127.545319061971,,1670,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(127.545319061971 36.6428098895286)
추병원장례식장,funeral_home,경기도 의정부시 평화로 650 추병원,37.7497798643037,127.045189463213,031-844-4442,1668,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(127.045189463213 37.7497798643037)
고흥종합병원장례식장,funeral_home,전라남도 고흥군 고흥읍 고흥로 1935 숙소,34.6216901762265,127.294249689201,061-830-3300,1727,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(127.294249689201 34.6216901762265)
익산병원장례식장,funeral_home,전북특별자치도 익산시 무왕로 969,35.961701412559,126.966521099936,063-851-9444,1666,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(126.966521099936 35.961701412559)
영락원장례식장,funeral_home,경남 창원시 마산회원구 봉양로 152,35.2176044616235,128.602945195282,055-292-4444,1660,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(128.602945195282 35.2176044616235)
영천전문장례식장,funeral_home,경상북도 영천시 한방로 35 영천전문장례식장,35.9443780642696,128.934357656517,054-332-4000,1659,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(128.934357656517 35.9443780642696)
영남제일병원장례식장,funeral_home,경상북도 의성군 안계면 용기4길 36,36.3890765840782,128.434259371299,,1658,True,{https://xvmpvzldezpoxxsarizm.supabase.co/storage/v1/object/public/facility-images/defaults/charnel_final_1767789315138.jpg},POINT(128.434259371299 36.3890765840782)
